Meal Type,Meal,Calories (kcal)
Breakfast,Aloo Paratha with Curd,350
Breakfast,Masala Oats,250
Breakfast,Methi Thepla,300
Breakfast,Vegetable Upma,280
Breakfast,Besan Chilla (Gram Flour Pancake),200
Lunch,Paneer Tikka Masala with Naan,450
Lunch,Paneer Butter Masala with Jeera Rice,500
Lunch,Vegetable Korma with Roti,400
Lunch,Matar Paneer with Pulao,450
Lunch,Palak Paneer with Paratha,420
Snacks,Vegetable Pakoras,200
Snacks,Vegetable Sandwich,300
Snacks,Dhokla,150
Snacks,Masala Papad,100
Snacks,Samosa,250
Dinner,Dal Makhani with Tandoori Roti,400
Dinner,Vegetable Pulao,350
Dinner,Rajma (Kidney Bean Curry) with Jeera Rice,380
Dinner,Stuffed Capsicum with Chapati,350
Dinner,Kadai Paneer with Naan,450
Breakfast,Poha (Flattened Rice),250
Breakfast,Vegetable Uttapam,300
Breakfast,Moong Dal Cheela (Mung Bean Pancake),220
Breakfast,Vegetable Idli with Coconut Chutney,280
Breakfast,Veggie Scramble with Toast,320
Lunch,Veg Biryani with Raita,450
Lunch,Chana Masala with Rice,380
Lunch,Veggie Stir-fry with Quinoa,400
Lunch,Aloo Gobi (Potato and Cauliflower Curry) with Roti,380
Lunch,Spinach and Lentil Soup with Whole Wheat Bread,350
Snacks,Fruit Chaat (Mixed Fruit Salad),150
Snacks,Corn Chaat (Corn Salad),200
Snacks,Moong Dal Pakoras,220
Snacks,Veggie Spring Rolls,280
Snacks,Roasted Chickpeas,180
Dinner,Vegetable Jalfrezi with Naan,420
Dinner,Mushroom Tikka Masala with Rice,400
Dinner,Lentil and Vegetable Stew with Bread Rolls,350
Dinner,Veggie Stir-fried Noodles,380
Dinner,Spinach and Cottage Cheese Curry with Chapati,420
